"player_name","position"
"Clint Capela","C"
"Sam Dekker","SF"
"Tyler Ennis","PG"
"Eric Gordon","SF"
"James Harden","SG"
"Montrezl Harrell","C"
"Nene Hilario","C"
"K.J. McDaniels","SG"
"Donatas Motiejunas","PF"
"Chinanu Onuaku","PF"
"Gary Payton","PG"
"Josh Smith","PF"
"Isaiah Taylor","PG"
"Tony Allen","SG"
"Wade Baldwin","PG"
"Vince Carter","PF"
"Mike Conley","PG"
"Troy Daniels","SG"
"Deyonta Davis","PG"
"James Ennis","PF"
"Marc Gasol","C"
"JaMychal Green","PF"
"Andrew Harrison","PG"
"Jarell Martin","PF"
"Chandler Parsons","PF"
"Zach Randolph","PF"
"Wayne Selden","SG"
"D.J. Stephens","SG"
"Troy Williams","SF"
"Brandan Wright","C"
"Alexis Ajinca","C"
"Omer Asik","C"
"Dante Cunningham","SF"
"Anthony Davis","C"
"Cheick Diallo","C"
"Tyreke Evans","SG"
"Tim Frazier","PG"
"Langston Galloway","SG"
"Buddy Hield","SF"
"Solomon Hill","PF"
"Jrue Holiday","SG"
"E'Twaun Moore","SF"
"Quincy Pondexter","SF"
"Lance Stephenson","SG"
"LaMarcus Aldridge","C"
"Kyle Anderson","PF"
"Joel Anthony","C"
"Ryan Arcidiacono","SG"
"Davis Bertans","PF"
"Dewayne Dedmon","C"
"Bryn Forbes","SG"
"Pau Gasol","C"
"Manu Ginobili","SG"
"Danny Green","SF"
"David Lee","PF"
"Kawhi Leonard","PF"
"Patty Mills","SG"
"Dejounte Murray","PG"
"Tony Parker","PG"
"Jonathon Simmons","SF"
"Marcus Georges-Hunt","SG"
"Yogi Ferrell","SG"
"Jarrod Uthoff","SF"
"Fred VanVleet","SG"
"J.R. Smith","SG"
"Josh Magette","PG"
"Danuel House","SF"
"Sheldon McClellan","SG"
"Johnny O'Bryant","C"
"Tim Quarterman","PG"
"Bobby Brown","PG"
"Kyle Wiltjer","PF"
"Quinn Cook","PG"
"Kadeem Allen","SG"
"Jabari Bird","SG"
"Shane Larkin","PG"
"Abdel Nader","SF"
"Semi Ojeleye","PF"
"L.J. Peak","SG"
"Jayson Tatum","PF"
"Daniel Theis","C"
"Andrew White III","SF"
"Guerschon Yabusele","PF"
"Jarrett Allen","C"
"Yakuba Ouattara","SG"
"Jacob Wiley","SF"
"Jamel Artis","SG"
"Damyean Dotson","SF"
"Nigel Hayes","SF"
"Ognjen Jaramaz","PG"
"Luke Kornet","C"
"Frank Ntilikina","PG"
"Xavier Rathan-Mayes","SG"
"James Blackmon Jr.","SG"
"Markelle Fultz","SG"
"Furkan Korkmaz","SG"
"Jacob Pullen","PG"
"OG Anunoby","PF"
"Kennedy Meeks","C"
"Malcolm Miller","SF"
"Antonio Blakeney","SG"
