"pick_rank","player_name","year"
"2","Marvin Williams","2005"
"3","Deron Williams","2005"
"4","Chris Paul","2005"
"5","Raymond Felton","2005"
"6","Martell Webster","2005"
"7","Charlie Villanueva","2005"
"8","Channing Frye","2005"
"9","Ike Diogu","2005"
"10","Andrew Bynum","2005"
"11","Fran Vázquez","2005"
"12","Yaroslav Korolev","2005"
"13","Sean May","2005"
"14","Rashad McCants","2005"
"15","Antoine Wright","2005"
"16","Joey Graham","2005"
"17","Danny Granger","2005"
"18","Gerald Green","2005"
"19","Hakim Warrick","2005"
"20","Julius Hodge","2005"
"21","Nate Robinson","2005"
"22","Jarrett Jack","2005"
"23","Francisco García","2005"
"24","Luther Head","2005"
"25","Johan Petro","2005"
"26","Jason Maxiell","2005"
"27","Linas Kleiza","2005"
"28","Ian Mahinmi","2005"
"29","Wayne Simien","2005"
"30","David Lee","2005"
"31","Salim Stoudamire","2005"
"32","Daniel Ewing","2005"
"33","Brandon Bass","2005"
"34","C.J. Miles","2005"
"35","Ricky Sanchez","2005"
"36","Ersan İlyasova","2005"
"37","Ronny Turiaf","2005"
"38","Travis Diener","2005"
"39","Von Wafer","2005"
"40","Monta Ellis","2005"
"41","Roko Ukić","2005"
"42","Chris Taft","2005"
"43","Mile Ilić","2005"
"44","Martynas Andriuškevičius","2005"
"45","Lou Williams","2005"
"46","Erazem Lorbek","2005"
"47","Bracey Wright","2005"
"48","Mickaël Gelabale","2005"
"49","Andray Blatche","2005"
"50","Ryan Gomes","2005"
"51","Robert Whaley","2005"
"52","Axel Hervelle","2005"
"53","Orien Greene","2005"
"54","Dijon Thompson","2005"
"55","Lawrence Roberts","2005"
"56","Amir Johnson","2005"
"57","Marcin Gortat","2005"
"58","Uroš Slokar","2005"
"59","Cenk Akyol","2005"
"60","Alex Acker","2005"
"1","Andrea Bargnani","2006"
"2","LaMarcus Aldridge","2006"
"3","Adam Morrison","2006"
"4","Tyrus Thomas","2006"
"5","Shelden Williams","2006"
"6","Brandon Roy","2006"
"7","Randy Foye","2006"
"8","Rudy Gay","2006"
"9","Patrick O'Bryant","2006"
"10","Mouhamed Sene","2006"
"11","J.J. Redick","2006"
"12","Hilton Armstrong","2006"
"13","Thabo Sefolosha","2006"
"14","Ronnie Brewer","2006"
"15","Cedric Simmons","2006"
"16","Rodney Carney","2006"
"17","Shawne Williams","2006"
"18","Oleksiy Pecherov","2006"
"19","Quincy Douby","2006"
"20","Renaldo Balkman","2006"
"21","Rajon Rondo","2006"
"22","Marcus Williams","2006"
"23","Josh Boone","2006"
"24","Kyle Lowry","2006"
